adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,d-Band_Center,d-Band_Width,d-Band_Filling,DOS at Fermi Energy
H,Au6Rh6,-0.239647801,hollow|A_B_B|FCC,L1_o,"['Rh', 'Rh', 'Au']","[9, 10, 12]","['Rh', 'Rh', 'Au', 'Au', 'Rh', 'Rh', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,394.08,9.245,2.3635663784191223,8.047784666666667,1.5275433333333333,458.6333333333333,-1.92631139084456,2.37399120161173,0.875994655768326,25.29
H,Au6Rh6,-0.021145966,hollow-tilt|A_A_B|HCP,L1_o,"['Rh', 'Au', 'Au']","[10, 11, 12]","['Rh', 'Rh', 'Au', 'Au', 'Rh', 'Rh', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,394.08,9.245,2.450195625084775,8.636669333333334,1.9180866666666667,400.56666666666666,-2.59085038223944,2.33865969297906,0.924411090344534,25.29
H,Au6Sc6,0.343858149,bridge|A_A|B,L1_o,"['Au', 'Au']","[11, 12]","['Sc', 'Sc', 'Au', 'Au', 'Sc', 'Sc', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,369.36,12.605,2.54,9.225554,2.30863,342.5,-4.53450043886184,1.78136055718722,0.979464653852958,6.881
H,Au6Sc6,-0.623357837,bridge|B_B|A,L1_o,"['Sc', 'Sc']","[9, 10]","['Sc', 'Sc', 'Au', 'Au', 'Sc', 'Sc', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,369.36,12.605,1.36,6.56149,0.188,334.0,-0.100357983052813,2.23745598338123,0.282256127891063,6.881
H,Au6Sc6,0.343589164,hollow|A_A_B|HCP,L1_o,"['Sc', 'Au', 'Au']","[9, 11, 12]","['Sc', 'Sc', 'Au', 'Au', 'Sc', 'Sc', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,369.36,12.605,2.062538736952284,8.337532666666668,1.6017533333333334,339.66666666666663,-3.55617057445924,2.6378794842832,0.825635484240731,6.881
H,Au6Ta6,0.016501527,top|B,L1_o,['Ta'],[10],"['Ta', 'Ta', 'Au', 'Ta', 'Ta', 'Au', 'Au']","[5, 6, 8, 9, 10, 11, 12]",1,368.975,10.53,1.5,7.549571,0.322,771.0,0.091555883336804,4.28595767181681,0.414798175848751,7.511
H,Au6Ta6,-0.716254509,bridge|B_B|A,L1_o,"['Ta', 'Ta']","[9, 10]","['Ta', 'Ta', 'Au', 'Au', 'Ta', 'Ta', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,368.975,10.53,1.5,7.549571,0.322,771.0,0.091602664462995,4.28598072373538,0.414794456373232,7.511
H,Au6Ta6,0.080742435,hollow|A_A_B|FCC,L1_o,"['Ta', 'Au', 'Au']","[9, 11, 12]","['Ta', 'Ta', 'Au', 'Au', 'Ta', 'Ta', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,368.975,10.53,2.131013646129225,8.666893000000002,1.64642,485.3333333333333,-2.9064616217393,4.018360308019,0.785077412844679,7.511
H,Au6Ti6,-0.628107721,bridge|A_A|B,L1_o,"['Au', 'Au']","[11, 12]","['Ti', 'Ti', 'Au', 'Au', 'Ti', 'Ti', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,351.45,10.425,2.54,9.225554,2.30863,342.5,-4.33475132185902,1.97996334946764,0.977476065012171,27.63
H,Au6Ti6,-0.62465582,bridge|B_B|A,L1_o,"['Ti', 'Ti']","[9, 10]","['Ti', 'Ti', 'Au', 'Au', 'Ti', 'Ti', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,351.45,10.425,1.54,6.82812,0.079,443.7,-0.175260412928023,2.47570281602828,0.422138014428343,27.63
H,Au6Ti6,0.357374315,hollow|A_A_B|HCP,L1_o,"['Ti', 'Au', 'Au']","[10, 11, 12]","['Ti', 'Ti', 'Au', 'Au', 'Ti', 'Ti', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,351.45,10.425,2.1497900642320698,8.426409333333334,1.56542,376.23333333333335,-3.26561400852448,2.79137779954829,0.834735368642393,27.63
H,Au6Ti6,0.067639881,hollow|A_A_B|FCC,L1_o,"['Ti', 'Au', 'Au']","[9, 11, 12]","['Ti', 'Ti', 'Au', 'Au', 'Ti', 'Ti', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,351.45,10.425,2.1497900642320698,8.426409333333334,1.56542,376.23333333333335,-3.26564426813897,2.79139823206492,0.834739079759721,27.63
H,Au6Ti6,0.067673487,hollow|A_B_B|FCC,L1_o,"['Ti', 'Ti', 'Au']","[9, 10, 12]","['Ti', 'Ti', 'Au', 'Au', 'Ti', 'Ti', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,351.45,10.425,1.819526504043672,7.627264666666666,0.8222099999999999,409.9666666666667,-1.92014790553191,3.06845096653249,0.655105324894692,27.63
H,Au6V6,-0.540980679,bridge|A_A|B,L1_o,"['Au', 'Au']","[11, 12]","['V', 'V', 'Au', 'Au', 'V', 'V', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,355.41,9.265,2.54,9.225554,2.30863,342.5,-4.24083308165475,2.11192048457976,0.974924863285833,23.72
H,Au6V6,-0.548837422,bridge|B_B|A,L1_o,"['V', 'V']","[9, 10]","['V', 'V', 'Au', 'Au', 'V', 'V', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,355.41,9.265,1.63,6.746187,0.525,475.8,-0.407974863300685,2.56026734962029,0.500816573435085,23.72
H,Au6V6,0.216879491,hollow|A_A_B|HCP,L1_o,"['V', 'Au', 'Au']","[10, 11, 12]","['V', 'V', 'Au', 'Au', 'V', 'V', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,355.41,9.265,2.1908787643982177,8.399098333333335,1.7140866666666668,386.9333333333333,-3.16737850809475,2.82999006096306,0.842159281477825,23.72
H,Au6V6,0.052989,hollow|A_A_B|FCC,L1_o,"['V', 'Au', 'Au']","[9, 11, 12]","['V', 'V', 'Au', 'Au', 'V', 'V', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,355.41,9.265,2.1908787643982177,8.399098333333335,1.7140866666666668,386.9333333333333,-3.16713199977019,2.83013158522485,0.842099890344652,23.72
H,Au6W6,-0.141907639,top|B,L1_o,['W'],[10],"['W', 'W', 'Au', 'W', 'W', 'Au', 'Au']","[5, 6, 8, 9, 10, 11, 12]",1,362.17,9.84,2.36,7.86403,0.81626,835.0,-0.835002170035337,4.13531205921736,0.552322518512097,12.39
H,Au6W6,-0.656967162,bridge|A_A|B,L1_o,"['Au', 'Au']","[11, 12]","['W', 'W', 'Au', 'Au', 'W', 'W', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,362.17,9.84,2.54,9.225554,2.30863,342.5,-4.06115781174012,2.5643781321999,0.961420631240866,12.39
H,Au6W6,-0.658091536,bridge|B_B|A,L1_o,"['W', 'W']","[9, 10]","['W', 'W', 'Au', 'Au', 'W', 'W', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,362.17,9.84,2.36,7.86403,0.81626,835.0,-0.834943758081626,4.13535869569248,0.552315905595834,12.39
H,Au6W6,0.041778998,hollow|A_A_B|FCC,L1_o,"['W', 'Au', 'Au']","[9, 11, 12]","['W', 'W', 'Au', 'Au', 'W', 'W', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,362.17,9.84,2.478524095815656,8.771712666666668,1.811173333333333,506.6666666666666,-3.09176518245152,3.45348570848946,0.838492322845274,12.39
H,Au6W6,0.040467818,hollow|A_B_B|FCC,L1_o,"['W', 'W', 'Au']","[9, 10, 12]","['W', 'W', 'Au', 'Au', 'W', 'W', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,362.17,9.84,2.418536099818431,8.317871333333333,1.3137166666666666,670.8333333333333,-2.02188348441762,3.95581188969737,0.702822491255866,12.39
H,Au6Y6,0.420673845,top|A,L1_o,['Au'],[12],"['Y', 'Au', 'Au', 'Y', 'Y', 'Au', 'Au']","[6, 7, 8, 9, 10, 11, 12]",1,386.28,15.045,2.54,9.225554,2.30863,342.5,-4.46224403640229,1.9983101661095,0.977328653744623,10.27
H,Au6Y6,0.241363614,top|B,L1_o,['Y'],[10],"['Y', 'Y', 'Au', 'Y', 'Y', 'Au', 'Au']","[5, 6, 8, 9, 10, 11, 12]",1,386.28,15.045,1.22,6.21726,0.307,391.4,-0.202833633626754,3.08035446826754,0.328828918294399,10.27
H,Au6Y6,0.357846025,bridge|A_A|B,L1_o,"['Au', 'Au']","[11, 12]","['Y', 'Y', 'Au', 'Au', 'Y', 'Y', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,386.28,15.045,2.54,9.225554,2.30863,342.5,-4.46218914702324,1.99833630047372,0.977322531349004,10.27
H,Au6Y6,-0.696251965,bridge|B_B|A,L1_o,"['Y', 'Y']","[9, 10]","['Y', 'Y', 'Au', 'Au', 'Y', 'Y', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,386.28,15.045,1.22,6.21726,0.307,391.4,-0.20306499763511,3.08037373961076,0.328870048269632,10.27
H,Au6Y6,0.371146541,hollow|A_A_B|HCP,L1_o,"['Y', 'Au', 'Au']","[10, 11, 12]","['Y', 'Y', 'Au', 'Au', 'Y', 'Y', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,386.28,15.045,1.989187651900773,8.222789333333333,1.64142,358.8,-3.57909755731511,2.84853532449096,0.842866113434042,10.27
H,Au6Zn6,0.626520889,bridge|B_B|A,L1_o,"['Zn', 'Zn']","[9, 10]","['Zn', 'Zn', 'Au', 'Au', 'Zn', 'Zn', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,337.155,9.685,1.65,9.394197,0.0,126.35,-7.10221772607159,0.766834887787754,0.997700516095794,3.224
H,Au6Zn6,0.524432212,bridge|A_B|A,L1_o,"['Zn', 'Au']","[9, 11]","['Zn', 'Zn', 'Au', 'Au', 'Zn', 'Zn', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,337.155,9.685,2.047193200457641,9.3098755,1.154315,234.425,-5.47777550758227,1.98830049396645,0.986088375033033,3.224
H,Au6Zn6,0.542367235,bridge|A_B|B,L1_o,"['Zn', 'Au']","[9, 12]","['Zn', 'Zn', 'Au', 'Au', 'Zn', 'Zn', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,337.155,9.685,2.047193200457641,9.3098755,1.154315,234.425,-5.47776930738393,1.98828679243649,0.986089008645059,3.224
H,Au6Zn6,0.594304515,hollow|A_A_B|HCP,L1_o,"['Zn', 'Au', 'Au']","[10, 11, 12]","['Zn', 'Zn', 'Au', 'Au', 'Zn', 'Zn', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,337.155,9.685,2.1998030126653703,9.281768333333334,1.5390866666666665,270.45,-4.93287541546544,1.97488636226817,0.982192253391717,3.224
H,Au6Zn6,0.587112274,hollow|A_A_B|FCC,L1_o,"['Zn', 'Au', 'Au']","[9, 11, 12]","['Zn', 'Zn', 'Au', 'Au', 'Zn', 'Zn', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,337.155,9.685,2.1998030126653703,9.281768333333334,1.5390866666666665,270.45,-4.93286663291391,1.97488186223732,0.982192297273995,3.224
H,Au6Zn6,0.575155456,hollow|A_B_B|HCP,L1_o,"['Zn', 'Zn', 'Au']","[9, 10, 11]","['Zn', 'Zn', 'Au', 'Au', 'Zn', 'Zn', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,337.155,9.685,1.9051705883982832,9.337982666666663,0.7695433333333332,198.4,-6.02097230448973,1.84807009969976,0.989970733562853,3.224
H,Au6Zn6,0.581448769,hollow|A_B_B|FCC,L1_o,"['Zn', 'Zn', 'Au']","[9, 10, 12]","['Zn', 'Zn', 'Au', 'Au', 'Zn', 'Zn', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,337.155,9.685,1.9051705883982832,9.337982666666663,0.7695433333333332,198.4,-6.02096702914826,1.8480622672432,0.989971150237242,3.224
H,Au6Zr6,0.175130018,top|B,L1_o,['Zr'],[10],"['Zr', 'Zr', 'Au', 'Zr', 'Zr', 'Au', 'Au']","[5, 6, 8, 9, 10, 11, 12]",1,365.51,12.115,1.33,6.634126,0.426,601.0,-0.307384045985332,3.4016122969886,0.438951986097748,17.63
H,Au6Zr6,-0.687288943,bridge|B_B|A,L1_o,"['Zr', 'Zr']","[9, 10]","['Zr', 'Zr', 'Au', 'Au', 'Zr', 'Zr', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,365.51,12.115,1.33,6.634126,0.426,601.0,-0.30741457367488,3.40159518047108,0.438960422843284,17.63
H,Au6Zr6,0.089334293,hollow|A_A_B|FCC,L1_o,"['Zr', 'Au', 'Au']","[9, 11, 12]","['Zr', 'Zr', 'Au', 'Au', 'Zr', 'Zr', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,365.51,12.115,2.0472601112494604,8.361744666666667,1.6810866666666666,428.6666666666666,-3.28837215779989,3.10824065693437,0.839526880253932,17.63
H,Cd6Cu6,0.99467513,top|A,L1_o,['Cd'],[12],"['Cu', 'Cd', 'Cd', 'Cu', 'Cu', 'Cd', 'Cd']","[6, 7, 8, 9, 10, 11, 12]",1,329.71500000000003,10.055,1.69,8.99382,0.0,106.3,-8.63587392573963,0.93846819325183,0.996289967857689,2.47
H,Cd6Cu6,0.480319701,top|B,L1_o,['Cu'],[10],"['Cu', 'Cu', 'Cd', 'Cu', 'Cu', 'Cd', 'Cd']","[5, 6, 8, 9, 10, 11, 12]",1,329.71500000000003,10.055,1.9,7.72638,1.235,313.1,-2.48136890005555,0.904698570934628,0.981120853190202,2.47
H,Cd6Cu6,0.171934721,bridge|B_B|A,L1_o,"['Cu', 'Cu']","[9, 10]","['Cu', 'Cu', 'Cd', 'Cd', 'Cu', 'Cu', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,329.71500000000003,10.055,1.9,7.72638,1.235,313.1,-2.48135954156492,0.904693602798704,0.981120431553569,2.47
H,Cd6Cu6,0.370696601,hollow-tilt|A_A_B|FCC,L1_o,"['Cu', 'Cd', 'Cd']","[9, 11, 12]","['Cu', 'Cu', 'Cd', 'Cd', 'Cu', 'Cu', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.71500000000003,10.055,1.7572855453217373,8.57134,0.4116666666666667,175.23333333333335,-6.59012246121924,3.04398337245552,0.991245471922216,2.47
H,Cd6Fe6,1.036602974,top|A,L1_o,['Cd'],[12],"['Fe', 'Cd', 'Cd', 'Fe', 'Fe', 'Cd', 'Cd']","[6, 7, 8, 9, 10, 11, 12]",1,292.295,10.045,1.69,8.99382,0.0,106.3,-8.61726233603808,0.795157633405315,0.998678993709512,7.565
H,Cd6Fe6,0.256538179,top|B,L1_o,['Fe'],[10],"['Fe', 'Fe', 'Cd', 'Fe', 'Fe', 'Cd', 'Cd']","[5, 6, 8, 9, 10, 11, 12]",1,292.295,10.045,1.83,7.9024681,0.151,360.8,-2.43299269918707,0.933553604085759,0.9836480580979,7.565
H,Cd6Fe6,-0.354356573,bridge|B_B|A,L1_o,"['Fe', 'Fe']","[9, 10]","['Fe', 'Fe', 'Cd', 'Cd', 'Fe', 'Fe', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,292.295,10.045,1.83,7.9024681,0.151,360.8,-2.43299535738837,0.933439691908786,0.983658329712525,7.565
H,Cd6Fe6,0.200596063,top-tilt|B,L1_o,['Fe'],[10],"['Fe', 'Fe', 'Cd', 'Fe', 'Fe', 'Cd', 'Cd']","[5, 6, 8, 9, 10, 11, 12]",1,292.295,10.045,1.83,7.9024681,0.151,360.8,-2.43299269918707,0.933553604085759,0.9836480580979,7.565
H,Cd6Fe6,0.198128127,hollow-tilt|A_A_B|FCC,L1_o,"['Fe', 'Cd', 'Cd']","[9, 11, 12]","['Fe', 'Fe', 'Cd', 'Cd', 'Fe', 'Fe', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,292.295,10.045,1.735434258054786,8.630036033333333,0.0503333333333333,191.13333333333333,-6.57376425295037,3.02868245936977,0.993717191776744,7.565
H,Cd6Hf6,-0.849589473,bridge|B_B|A,L1_o,"['Hf', 'Hf']","[11, 12]","['Cd', 'Cd', 'Hf', 'Hf', 'Cd', 'Cd', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",2,308.79,13.22,1.3,6.82507,0.014,655.5,-0.131966427129662,3.7291921164635,0.422422516786849,19.77
H,Cd6Hf6,0.060146546,hollow|A_A_B|FCC,L1_o,"['Cd', 'Cd', 'Hf']","[9, 10, 12]","['Cd', 'Cd', 'Hf', 'Hf', 'Cd', 'Cd', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",3,308.79,13.22,1.5484799527553623,8.270903333333333,0.0046666666666666,289.3666666666667,-6.4469414179873,4.28651688321882,0.852266435814061,19.77
H,Cd6Hf6,-0.029887079,hollow-tilt|A_A_B|HCP,L1_o,"['Cd', 'Cd', 'Hf']","[9, 10, 11]","['Cd', 'Cd', 'Hf', 'Hf', 'Cd', 'Cd', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",3,308.79,13.22,1.5484799527553623,8.270903333333333,0.0046666666666666,289.3666666666667,-6.44713402695293,4.28629324068853,0.85228924521443,19.77
H,Cd6Hg6,0.883239207,top|A,L1_o,['Cd'],[9],"['Cd', 'Hg', 'Hg', 'Cd', 'Cd', 'Hg', 'Hg']","[6, 7, 8, 9, 10, 11, 12]",1,299.22,13.545,1.69,8.99382,0.0,106.3,-8.48724804368908,0.592795155845079,0.9984179192315,2.402
H,Cd6Hg6,0.977802303,bridge|A_A|B,L1_o,"['Cd', 'Cd']","[9, 10]","['Cd', 'Cd', 'Hg', 'Hg', 'Cd', 'Cd', 'Hg', 'Hg']","[5, 6, 7, 8, 9, 10, 11, 12]",2,299.22,13.545,1.69,8.99382,0.0,106.3,-8.48725719081417,0.592826522910411,0.998417743304031,2.402
H,Cd6Hg6,1.05450235,top-tilt|A,L1_o,['Cd'],[9],"['Cd', 'Hg', 'Hg', 'Cd', 'Cd', 'Hg', 'Hg']","[6, 7, 8, 9, 10, 11, 12]",1,299.22,13.545,1.69,8.99382,0.0,106.3,-8.48724804368908,0.592795155845079,0.9984179192315,2.402
H,Cd6Ir6,-0.270018562,top|B,L1_o,['Ir'],[11],"['Cd', 'Cd', 'Ir', 'Cd', 'Cd', 'Ir', 'Ir']","[5, 6, 8, 9, 10, 11, 12]",1,340.92,10.76,2.2,8.96702,1.5638,586.0,-1.52708241655335,1.99792230853957,0.837892559915819,15.17
H,Cd6Ir6,-0.44166906,bridge|B_B|A,L1_o,"['Ir', 'Ir']","[11, 12]","['Cd', 'Cd', 'Ir', 'Ir', 'Cd', 'Cd', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",2,340.92,10.76,2.2,8.96702,1.5638,586.0,-1.52713856220013,1.99789785896847,0.837894833449081,15.17
H,Cd6Ir6,-0.321206849,top-tilt|B,L1_o,['Ir'],[11],"['Cd', 'Cd', 'Ir', 'Cd', 'Cd', 'Ir', 'Ir']","[5, 6, 8, 9, 10, 11, 12]",1,340.92,10.76,2.2,8.96702,1.5638,586.0,-1.52708241655335,1.99792230853957,0.837892559915819,15.17
H,Cd6La6,0.402204934,top|B,L1_o,['La'],[10],"['La', 'La', 'Cd', 'La', 'La', 'Cd', 'Cd']","[5, 6, 8, 9, 10, 11, 12]",1,337.57,17.695,1.1,5.5769,0.47,406.2,-0.531633141749255,2.68133132109616,0.500253985362552,15.01
H,Cd6La6,-0.501943364,bridge|B_B|A,L1_o,"['La', 'La']","[9, 10]","['La', 'La', 'Cd', 'Cd', 'La', 'La', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,337.57,17.695,1.1,5.5769,0.47,406.2,-0.532201138537357,2.6816306627375,0.500437222923212,15.01
H,Cd6La6,-0.490947516,hollow|A_B_B|HCP,L1_o,"['La', 'La', 'Cd']","[9, 10, 12]","['La', 'La', 'Cd', 'Cd', 'La', 'La', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,337.57,17.695,1.2692797701879768,6.715873333333333,0.3133333333333333,306.2333333333333,-5.11389994699268,4.5292021768042,0.779793084364567,15.01
H,Cd6La6,-0.256641582,4fold|A_A_B_B,L1_o,"['La', 'La', 'Cd', 'Cd']","[9, 10, 11, 12]","['La', 'La', 'Cd', 'Cd', 'La', 'La', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",5,337.57,17.695,1.363451502621197,7.28536,0.235,256.25,-6.40229869848802,4.08622316902715,0.858329345886109,15.01
H,Cd6Mn6,0.579831324,bridge|B_B|A,L1_o,"['Mn', 'Mn']","[9, 10]","['Mn', 'Mn', 'Cd', 'Cd', 'Mn', 'Mn', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,594.595,10.175,1.55,7.434038,0.0,233.2,-2.79558196253789,1.19975122336528,0.987304702664988,10.86
H,Cd6Mn6,1.186901924,top-tilt|B,L1_o,['Mn'],[10],"['Mn', 'Mn', 'Cd', 'Mn', 'Mn', 'Cd', 'Cd']","[5, 6, 8, 9, 10, 11, 12]",1,594.595,10.175,1.55,7.434038,0.0,233.2,-2.79561876727914,1.19976203370705,0.987304067117637,10.86
H,Cd6Mn6,1.122671493,hollow-tilt|A_A_B|FCC,L1_o,"['Mn', 'Cd', 'Cd']","[9, 11, 12]","['Mn', 'Mn', 'Cd', 'Cd', 'Mn', 'Mn', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,594.595,10.175,1.6419819138584384,8.473892666666666,0.0,148.6,-6.7707656492106,2.99164070753675,0.995094829134827,10.86
H,Cd6Mo6,-0.652046799,bridge|B_B|A,L1_o,"['Mo', 'Mo']","[9, 10]","['Mo', 'Mo', 'Cd', 'Cd', 'Mo', 'Mo', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,306.32,11.19,2.16,7.09243,0.748,636.0,-0.545494901933232,3.58403536363921,0.567162722497667,11.07
H,Cd6Mo6,0.071655193,hollow-tilt|A_A_B|HCP,L1_o,"['Mo', 'Cd', 'Cd']","[10, 11, 12]","['Mo', 'Mo', 'Cd', 'Cd', 'Mo', 'Mo', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,306.32,11.19,1.8340410564221907,8.360023333333332,0.2493333333333333,282.8666666666666,-6.0428545693093,4.41750750503532,0.862702507190653,11.07
H,Cd6Nb6,-0.732194257,bridge|A_A|B,L1_o,"['Cd', 'Cd']","[11, 12]","['Nb', 'Nb', 'Cd', 'Cd', 'Nb', 'Nb', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,313.99,11.915,1.69,8.99382,0.0,106.3,-8.44974783860746,1.55384608544406,0.996072062061867,12.28
H,Cd6Nb6,-0.732681069,bridge|B_B|A,L1_o,"['Nb', 'Nb']","[9, 10]","['Nb', 'Nb', 'Cd', 'Cd', 'Nb', 'Nb', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,313.99,11.915,1.6,6.75885,0.916,716.8,-0.253256132671954,3.48843866503973,0.503417177865386,12.28
H,Cd6Nb6,0.021519443,hollow|A_A_B|HCP,L1_o,"['Nb', 'Cd', 'Cd']","[10, 11, 12]","['Nb', 'Nb', 'Cd', 'Cd', 'Nb', 'Nb', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,313.99,11.915,1.659451117703576,8.248829999999998,0.3053333333333333,309.79999999999995,-6.12462731022329,4.33976631360851,0.856302488763245,12.28
H,Cd6Nb6,0.135212278,hollow|A_A_B|FCC,L1_o,"['Nb', 'Cd', 'Cd']","[9, 11, 12]","['Nb', 'Nb', 'Cd', 'Cd', 'Nb', 'Nb', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,313.99,11.915,1.659451117703576,8.248829999999998,0.3053333333333333,309.79999999999995,-6.1256262777595,4.33905405189111,0.856400064537919,12.28
H,Cd6Nb6,0.017841824,hollow-tilt|A_A_B|HCP,L1_o,"['Nb', 'Cd', 'Cd']","[10, 11, 12]","['Nb', 'Nb', 'Cd', 'Cd', 'Nb', 'Nb', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,313.99,11.915,1.659451117703576,8.248829999999998,0.3053333333333333,309.79999999999995,-6.12462731022329,4.33976631360851,0.856302488763245,12.28
H,Cd6Ni6,-0.314716661,bridge|B_B|A,L1_o,"['Ni', 'Ni']","[9, 10]","['Ni', 'Ni', 'Cd', 'Cd', 'Ni', 'Ni', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,325.17,9.795,1.91,7.639878,1.156,395.2,-0.937727937165803,1.10342304061227,0.916023083312795,5.39
H,Cd6Ni6,0.019411241,top-tilt|B,L1_o,['Ni'],[10],"['Ni', 'Ni', 'Cd', 'Ni', 'Ni', 'Cd', 'Cd']","[5, 6, 8, 9, 10, 11, 12]",1,325.17,9.795,1.91,7.639878,1.156,395.2,-0.937296424494928,1.10360744082252,0.915949802513588,5.39
H,Cd6Pd6,-0.009191053,bridge|B_B|A,L1_o,"['Pd', 'Pd']","[9, 10]","['Pd', 'Pd', 'Cd', 'Cd', 'Pd', 'Pd', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,343.505,10.78,2.2,8.336839,0.562,396.7,-1.97175114155631,1.37438622509646,0.947424886431717,5.866
H,Cd6Pd6,0.268977182,hollow-tilt|A_A_B|FCC,L1_o,"['Pd', 'Cd', 'Cd']","[9, 11, 12]","['Pd', 'Pd', 'Cd', 'Cd', 'Pd', 'Pd', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,343.505,10.78,1.8452931235228756,8.774826333333332,0.1873333333333333,203.1,-6.32550685422823,3.26190846561175,0.980592832241428,5.866
H,Cd6Pt6,-0.239398136,top|B,L1_o,['Pt'],[11],"['Cd', 'Cd', 'Pt', 'Cd', 'Cd', 'Pt', 'Pt']","[5, 6, 8, 9, 10, 11, 12]",1,345.18,11.045,2.28,8.95883,2.128,510.0,-1.89330663841138,1.66506361464457,0.928368758269566,7.281
H,Cd6Pt6,-0.250679296,bridge|B_B|A,L1_o,"['Pt', 'Pt']","[11, 12]","['Cd', 'Cd', 'Pt', 'Pt', 'Cd', 'Cd', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]",2,345.18,11.045,2.28,8.95883,2.128,510.0,-1.89325588355872,1.66507962640325,0.928366026107966,7.281
H,Cd6Re6,-0.661591328,bridge|B_B|A,L1_o,"['Re', 'Re']","[11, 12]","['Cd', 'Cd', 'Re', 'Re', 'Cd', 'Cd', 'Re', 'Re']","[5, 6, 7, 8, 9, 10, 11, 12]",2,287.02,10.93,1.9,7.83352,0.15,738.0,-0.934194144413254,4.09477103893667,0.637090896240717,10.74
